method	panel_count	sample_count	mean_delta_F1	min_delta_F1	improved_samples	worsened_samples	mean_panel_delta_F1	min_panel_delta_F1	improved_panels	worsened_panels	mean_delta_L1_pp	max_worse_L1_pp	mean_delta_Pearson	decision
drop_prob_lt_0.7_and_zipaf_lt_0.4	4	32	-0.001604410591359809	-0.07555150995930604	9	10	-0.015747332780825296	-0.04901458400297032	1	2	-1.040450481195857	2.6120823221852305	0.0008982949873643821	worse_or_equal
drop_ani_lt_0.95_and_breadth_lt_0.2	4	32	-0.022080953041716554	-0.3267426951886092	10	10	-0.08570501843921863	-0.30405697305149715	1	3	-3.3876178646803683	1.3701322149663575	0.0027927805835523505	worse_or_equal
drop_ani_lt_0.96_and_breadth_lt_0.2	4	32	-0.025815926198622365	-0.3267426951886092	9	11	-0.08967042151617843	-0.30405697305149715	1	3	-3.382259011321496	1.3701322149663575	0.002790689811085198	worse_or_equal
drop_ani_lt_0.97_and_breadth_lt_0.2	4	32	-0.029533152129966513	-0.3267426951886092	9	11	-0.09565471635900386	-0.30405697305149715	1	3	-3.3547470868428304	1.3701322149663575	0.002790045774229602	worse_or_equal
drop_ani_lt_0.98_and_breadth_lt_0.2	4	32	-0.03426077269043257	-0.3267426951886092	10	11	-0.1042975745365505	-0.30405697305149715	1	3	-3.3098903940871702	1.443522206933423	0.0027333472906839844	worse_or_equal
drop_xny_lt_500_and_breadth_lt_0.2	4	32	-0.011739741808622504	-0.3267426951886092	16	12	-0.10912935819708197	-0.3089032638627003	2	2	-3.5140474983333423	1.8793473861680194	0.0025966058733044722	worse_or_equal
drop_prob_lt_0.95_and_realaf_lt_0.3	4	32	-0.01711350494098836	-0.3162655435218612	15	12	-0.10270936730477317	-0.24063551509049164	2	2	-2.519207497344704	3.2295301598988306	0.0018688581078617657	worse_or_equal
max_mean_depth_ge_0.25	4	32	-0.03150494222795529	-0.300623973727422	13	12	-0.11348527466993358	-0.2775044865226628	2	2	-0.7724010532470984	2.209872800172228	0.00045488166456614243	worse_or_equal
max_real_min_af_ge_0.3	4	32	-0.031573994735540296	-0.3759816207184629	15	12	-0.1314618814048951	-0.3043191964945354	2	2	-2.4646323624753457	3.833380519191449	0.0018516178494140598	worse_or_equal
max_xny_ge_300	4	32	-0.031573994735540296	-0.3759816207184629	15	12	-0.1314618814048951	-0.3043191964945354	2	2	-2.4646323624753457	3.833380519191449	0.0018516178494140598	worse_or_equal
s_real_min_af_ge_0.3	4	32	-0.031573994735540296	-0.3759816207184629	15	12	-0.1314618814048951	-0.3043191964945354	2	2	-2.4646323624753457	3.833380519191449	0.0018516178494140598	worse_or_equal
s_xny_ge_300	4	32	-0.031573994735540296	-0.3759816207184629	15	12	-0.1314618814048951	-0.3043191964945354	2	2	-2.4646323624753457	3.833380519191449	0.0018516178494140598	worse_or_equal
prob_ge_0.4	4	32	-0.0017223815246228263	-0.05431325537016196	8	12	-0.01044451452511963	-0.03357582819790739	1	3	-0.11745344869351515	8.197554799834805	0.00028383014331425857	worse_or_equal
drop_prob_lt_0.95_and_realaf_lt_0.2	4	32	-0.010793824531259454	-0.2370023767082592	11	13	-0.08474743510596694	-0.22346874060179767	1	3	-1.0899598409310594	0.9652223985330952	0.0009102702913504172	worse_or_equal
drop_prob_lt_0.95_and_xny_lt_200	4	32	-0.010793824531259454	-0.2370023767082592	11	13	-0.08474743510596694	-0.22346874060179767	1	3	-1.0899598409310594	0.9652223985330952	0.0009102702913504172	worse_or_equal
drop_xny_lt_200_and_breadth_lt_0.2	4	32	-0.018946953975700856	-0.2941329179646937	11	13	-0.10449190902324912	-0.2807093608642395	1	3	-1.0626190794306816	1.128149898889717	0.0008951601576627256	worse_or_equal
drop_xny_lt_200_and_breadth_lt_0.3	4	32	-0.018946953975700856	-0.2941329179646937	11	13	-0.10449190902324912	-0.2807093608642395	1	3	-1.0626190794306816	1.128149898889717	0.0008951601576627256	worse_or_equal
max_real_min_af_ge_0.2	4	32	-0.018946953975700856	-0.2941329179646937	11	13	-0.10449190902324912	-0.2807093608642395	1	3	-1.0626190794306816	1.128149898889717	0.0008951601576627256	worse_or_equal
max_xny_ge_200	4	32	-0.018946953975700856	-0.2941329179646937	11	13	-0.10449190902324912	-0.2807093608642395	1	3	-1.0626190794306816	1.128149898889717	0.0008951601576627256	worse_or_equal
s_real_min_af_ge_0.2	4	32	-0.018946953975700856	-0.2941329179646937	11	13	-0.10449190902324912	-0.2807093608642395	1	3	-1.0626190794306816	1.128149898889717	0.0008951601576627256	worse_or_equal
s_xny_ge_200	4	32	-0.018946953975700856	-0.2941329179646937	11	13	-0.10449190902324912	-0.2807093608642395	1	3	-1.0626190794306816	1.128149898889717	0.0008951601576627256	worse_or_equal
drop_prob_lt_0.95_and_breadth_lt_0.2	4	32	-0.00421125032397722	-0.2721272417012781	14	14	-0.08900082424901412	-0.2419169985424654	2	2	-3.57383708339163	1.6799289910981994	0.00268625057457475	worse_or_equal
s_ani_ge_0.94	4	32	-0.011474096387441932	-0.13384034799642786	13	14	-0.03865480495917062	-0.12428227853990692	2	2	-3.5034903617941033	2.3168007261363783	0.0032970973438863176	worse_or_equal
max_breadth_ge_0.2	4	32	-0.015047427316983664	-0.3267426951886092	14	14	-0.11194957169602943	-0.30405697305149715	2	2	-3.537796184600927	1.8793473861680194	0.002671741344137356	worse_or_equal
s_breadth_ge_0.2	4	32	-0.015047427316983664	-0.3267426951886092	14	14	-0.11194957169602943	-0.30405697305149715	2	2	-3.537796184600927	1.8793473861680194	0.002671741344137356	worse_or_equal
max_real_min_af_ge_0.4	4	32	-0.05801065196041095	-0.43167168027503233	14	14	-0.1589929427987886	-0.33978442324380254	2	2	-3.4914679431301705	6.400868807899698	0.002810137458799912	worse_or_equal
s_real_min_af_ge_0.4	4	32	-0.05801065196041095	-0.43167168027503233	14	14	-0.1589929427987886	-0.33978442324380254	2	2	-3.4914679431301705	6.400868807899698	0.002810137458799912	worse_or_equal
drop_prob_lt_0.9_and_zipaf_lt_0.4	4	32	-0.005328033057018587	-0.07805987116331947	8	14	-0.02179284701240461	-0.057485199404783915	1	3	-0.7918748300459124	8.516846323672965	0.00027543304024030615	worse_or_equal
drop_prob_lt_0.95_and_zipaf_lt_0.4	4	32	-0.006201427643159729	-0.07805987116331947	8	14	-0.02412189924211433	-0.06449662676187529	1	3	-0.7679586557498952	9.30660145288492	0.00027823135560565634	worse_or_equal
max_zip_af_ge_0.4	4	32	-0.007601762519035611	-0.0917350848385331	8	14	-0.02785612557778333	-0.07943353210455129	1	3	-0.31635177732876163	14.606333300071725	5.9722172583914074e-05	worse_or_equal
max_ani_ge_0.96	4	32	-0.010243121555958096	-0.10922459893048142	8	14	-0.03385565488214848	-0.09673262312127662	1	3	0.14443980047114247	21.18658224897412	-0.00024043754093897723	worse_or_equal
drop_depth_lt_2_and_breadth_lt_0.2	4	32	-0.01527576295040457	-0.3267426951886092	13	15	-0.11068404001405557	-0.29792374534964194	2	2	-3.1428208644223865	1.8793473861680194	0.0017526269274851722	worse_or_equal
drop_depth_lt_1_and_breadth_lt_0.2	4	32	-0.018685605069701818	-0.3166783954961294	13	15	-0.11182738287129684	-0.29795450565810155	2	2	-2.4456269180370533	1.8793473861680194	0.0010481534428061975	worse_or_equal
