route	rule	pooled_F1	base_pooled_F1	delta_pooled_F1	mean_delta_F1	worsened_samples	improved_samples	TP	FP	FN	added_species	added_TP	added_FP
marine_setup_truth_profile_rescore	raw_ani0.97_xny250_breadth0.10	0.8143958868894602	0.7808292945611202	0.03356659232834003	0.03331564070400306	0	3	792	203	158	88	67	21
marine_setup_truth_profile_rescore	raw_ani0.97_xny250_breadth0.20	0.8143958868894602	0.7808292945611202	0.03356659232834003	0.03331564070400306	0	3	792	203	158	88	67	21
marine_setup_truth_profile_rescore	raw_ani0.97_xny250_breadth0.30	0.8091523660946438	0.7808292945611202	0.028323071533523647	0.028275581961629603	0	3	778	195	172	66	53	13
marine_setup_truth_profile_rescore	raw_ani0.97_xny250_breadth0.50	0.7978835978835979	0.7808292945611202	0.017054303322477704	0.017166846442544886	0	3	754	186	196	33	29	4
marine_setup_truth_profile_rescore	raw_ani0.97_xny500_breadth0.05	0.7964229352972121	0.7808292945611202	0.01559364073609193	0.01538312304395495	0	3	757	194	193	44	32	12
marine_setup_truth_profile_rescore	raw_ani0.97_xny500_breadth0.10	0.7964229352972121	0.7808292945611202	0.01559364073609193	0.01538312304395495	0	3	757	194	193	44	32	12
marine_setup_truth_profile_rescore	raw_ani0.97_xny500_breadth0.20	0.7964229352972121	0.7808292945611202	0.01559364073609193	0.01538312304395495	0	3	757	194	193	44	32	12
marine_setup_truth_profile_rescore	raw_ani0.97_xny500_breadth0.30	0.7964229352972121	0.7808292945611202	0.01559364073609193	0.01538312304395495	0	3	757	194	193	44	32	12
marine_setup_truth_profile_rescore	raw_ani0.97_xny500_breadth0.50	0.7978835978835979	0.7808292945611202	0.017054303322477704	0.017166846442544886	0	3	754	186	196	33	29	4
marine_setup_truth_profile_rescore	raw_ani0.97_xny650_breadth0.05	0.7963944856839873	0.7808292945611202	0.015565191122867139	0.01559351845995586	0	3	751	185	199	29	26	3
marine_setup_truth_profile_rescore	raw_ani0.97_xny650_breadth0.10	0.7963944856839873	0.7808292945611202	0.015565191122867139	0.01559351845995586	0	3	751	185	199	29	26	3
marine_setup_truth_profile_rescore	raw_ani0.97_xny650_breadth0.20	0.7963944856839873	0.7808292945611202	0.015565191122867139	0.01559351845995586	0	3	751	185	199	29	26	3
marine_setup_truth_profile_rescore	raw_ani0.97_xny650_breadth0.30	0.7963944856839873	0.7808292945611202	0.015565191122867139	0.01559351845995586	0	3	751	185	199	29	26	3
marine_setup_truth_profile_rescore	raw_ani0.97_xny650_breadth0.50	0.7963944856839873	0.7808292945611202	0.015565191122867139	0.01559351845995586	0	3	751	185	199	29	26	3
